,State,Population,Poverty Count,Poverty Rate
21,Alabama,"4,799,220","870,631",18.141093761069506
51,Alaska,"719,805","69,414",9.643445099714507
44,Arizona,"6,482,040","1,132,517",17.4716138746444
37,Arkansas,"2,933,423","547,402",18.660861389577978
47,California,"37,650,435","5,885,402",15.631697216778505
40,Colorado,"5,119,400","660,895",12.909618314646247
6,Connecticut,"3,583,561","354,348",9.888153152688066
10,Delewarre,"908,446","103,633",11.40772263843971
11,District of Colombia,"619,371","109,200",17.630789946574833
20,Florida,"19,091,069","3,052,802",15.99073367761648
17,Georgia,"9,809,871","1,736,677",17.703362256241697
48,Hawaii,"1,376,250","149,531",10.865104450499546
42,Idaho,"1,582,695","240,269",15.181004552361637
32,Illinois,"12,848,544","1,772,333",13.794037674619007
24,Indiana,"6,514,519","969,794",14.886655484464779
26,Iowa,"3,063,159","367,462",11.996177802066429
34,Kansas,"2,868,202","382,872",13.348850603967223
19,Kentucky,"4,367,797","797,132",18.250207141037002
36,Louisiana,"4,567,588","846,706",18.53726737175069
4,Maine,"1,328,225","175,615",13.221780948258013
13,Maryland,"5,834,284","558,329",9.569794682603726
0,Massachusetts,"6,605,053","725,351",10.981758965446605
25,Michigan,"9,886,052","1,625,979",16.447202584004213
28,Minnesota,"5,347,612","598,376",11.189592663042868
18,Mississippi,"2,976,777","653,321",21.94726040949658
33,Missouri,"6,007,264","900,918",14.997143458319794
31,Montana,"999,148","148,564",14.86906844631626
35,Nebraska,"1,841,883","228,794",12.421744486484755
46,Nevada,"2,730,202","403,426",14.776415810991274
2,New Hampshire,"1,319,241","110,868",8.403923164910733
8,New Jersey,"8,832,393","900,583",10.196364677160538
45,New Mexico,"2,066,903","413,145",19.9886013034961
7,New York,"19,486,857","2,903,931",14.901997792666103
15,North Carolina,"9,651,219","1,643,389",17.027786852624523
30,North Dakota,"688,784","79,357",11.521318729819509
23,Ohio,"11,549,590","1,773,853",15.358579828374861
38,Oklahoma,"3,785,406","618,642",16.34281765284886
49,Oregon,"3,867,963","614,425",15.884976148944547
9,Pennsylvania,"12,731,381","1,638,820",12.872287774594131
3,Puerto Rico,"3,680,734","1,643,475",44.65074085766589
1,Rhode Island,"1,051,695","137,244",13.04979105158815
16,South Carolina,"4,679,602","820,308",17.529439469424965
29,South Dakota,"825,176","112,090",13.583768795990188
22,Tennessee,"6,395,934","1,100,802",17.2109655915774
39,Texas,"25,637,324","4,416,794",17.22798370063896
43,Utah,"2,812,781","349,878",12.438863885954861
5,Vermont,"625,904","70,873",11.323301976021883
12,Washington,"8,100,652","887,638",10.957611807049606
14,West Virginia,"1,853,463","321,503",17.346070571681224
27,Wisconsin,"5,706,893","723,732",12.681716653878038
41,Wyoming,"570,212","63,743",11.178824717824249
50,,"6,819,713","893,228",13.097735931116162
